AÑO;PR;TIPO RED;CTRA;TR;ESTAC ASOC;ESTAC AFORO;PK ESTAC;ESTAC AFÍN;DESCRIPCIÓN DEL TRAMO;LONG;PK INICIAL;PK FINAL;IMD AÑO;IMD-L AÑO;IMDp AÑO;% LIG AÑO;% PES AÑO;IMD AÑO ANT;IMD-L  AÑO ANT;IMDp AÑO ANT;% LIG AÑO ANT;%PES AÑO ANT;VELOCIDAD MEDIA;RANGO VELOC MEDIA;% MOTOS;% TURISMOS;% FURGON.;% TRACT.;% AUTOBUSES;% CAM. S/R;% CAM. ART.;% TREN CTRA.;% EXTRANJ.;% MER. PEL.;LÍMITE CCAA;LÍMITE PROVINCIA;DOBLE CALZADA
2017;VA;CL;VA-912;1;VA-4400;VA-4400;17.5;VA-1130;DE MUCIENTES A LÍMITE DE PROVINCIA DE PALENCIA POR MONTEALEGRE;24.8;0.0;24.8;446;435;11;97.53;2.47;441;425;16;96.37;3.63;68;61-70;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;PA;
2017;VA;CL;VA-931;2;VA-4420;VA-4420;20.0;VA-1130;DE VA-932 A LÍMITE DE PROVINCIA DE PALENCIA;15.4;9.1;24.5;244;202;42;82.79;17.21;219;184;35;84.02;15.98;60;<=60;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;PA;
2017;VA;CL;VA-932;3;VA-4520;;;VA-1130;DE LÍMITE DE PROVINCIA DE LÉON A LÍMITE DE PROVINCIA DE VALLADOLID;1.15;21.7;22.85;232;207;25;89.22;10.78;256;228;28;89.06;10.94;83;81-90;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;LE;
2017;VA;CL;VA-941;1;VA-4430;VA-4430;9.0;VA-1130;DE MAYORGA (N-601) A LÍMITE DE PROVINCIA DE LEÓN POR SAELICES DE MAYORGA;20.6;0.0;20.6;373;349;24;93.57;6.43;381;363;18;95.28;4.72;69;61-70;0.62;76.74;11.0;0.86;0.79;3.96;5.23;0.79;0.13;0.0;;LE;
2017;ZA;B;CL-527;2;ZA-3050;ZA-3050;5.0;ZA-1055;DE ZA-330 A PERERUELA;11.665;3.665;15.33;2284;1878;406;82.22;17.78;2359;2056;303;87.16;12.84;84;81-90;1.16;79.3;9.75;0.0;0.65;5.83;3.02;0.29;2.33;0.07;;;
2017;ZA;B;CL-527;5;ZA-3065;ZA-3065;57.0;ZA-1055;DE ZA-315 A FERMOSELLE (ZA-316);9.17;54.74;63.91;819;655;164;79.98;20.02;805;761;44;94.53;5.47;77;71-80;1.16;79.3;9.75;0.0;0.65;5.83;3.02;0.29;2.33;0.07;;;
2017;ZA;B;CL-605;15;ZA-3090;ZA-3090;129.0;ZA-1100;DE CAÑIZAL (N-620a) A FUENTESAÚCO;13.1;117.5;130.6;433;338;95;78.06;21.94;355;275;80;77.46;22.54;88;81-90;0.28;71.14;13.15;1.7;1.0;9.42;3.31;0.0;0.0;0.74;;;
2017;ZA;B;CL-605;16;ZA-3095;ZA-3095;147.0;ZA-1100;DE FUENTESAÚCO A EL PIÑERO (ZA-611);19.5;130.6;150.1;890;755;135;84.83;15.17;666;581;85;87.24;12.76;88;81-90;0.28;71.14;13.15;1.7;1.0;9.42;3.31;0.0;0.0;0.74;;;
2017;ZA;B;CL-612;9;ZA-3125;;;ZA-1120;DE ZA-702 A CASTRONUEVO (ZA-714);0.81;91.64;92.45;996;804;192;80.72;19.28;894;731;163;81.77;18.23;46;<=60;1.42;61.52;14.25;0.0;1.58;11.23;8.07;1.93;0.34;0.17;;;
2017;ZA;B;CL-612;11;ZA-3145;ZA-3145;111.5;ZA-1140;DE ZA-711 A MONFARRACINOS;7.3;109.4;116.7;3049;2780;269;91.18;8.82;2826;2505;321;88.64;11.36;89;81-90;0.16;83.87;4.58;0.19;0.31;6.06;4.42;0.41;0.14;0.0;;;
2017;ZA;CP;ZA-100;3;ZA-4195;ZA-4195;35.1;ZA-1120;DE MORALES DE VALVERDE A TÁBARA (N-631);15.19;20.44;35.63;249;218;31;87.55;12.45;336;314;22;93.45;6.55;82;81-90;1.42;61.52;14.25;0.0;1.58;11.23;8.07;1.93;0.34;0.17;;;
2017;ZA;CP;ZA-104;1;ZA-1170;ZA-1170;2.0;ZA-1170;DE PUEBLA DE SANABRIA (N-525) A ZA-103;10.43;0.0;10.43;3025;2808;217;92.83;7.17;2778;2573;205;92.62;7.38;66;61-70;1.01;82.86;8.84;0.11;0.75;5.91;0.52;0.0;1.2;0.26;;;
